issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,I understand that losing access to your team workspace can be frustrating and disruptive. This case requires specialized attention from our administrative team to review the access permissions and IT actions. We will escalate this to ensure it is handled appropriately.,teams_management,escalated,product_issue,"Escalation is needed because the user is not the workspace owner or admin, and the access removal was performed by IT, which may involve administrative decisions requiring higher-level review."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Dear User, thank you for reaching out and sharing your concern about the test score. We understand how frustrating this situation must be, and we appreciate you bringing it to our attention. Your case requires specialized attention from our dedicated team to ensure a thorough and fair review. We will keep you updated as we proceed.",out_of_scope,escalated,product_issue,"Escalation is needed because the issue involves a third-party assessment platform (HackerRank) and requires technical expertise to verify grading accuracy, which is beyond standard support protocols."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Dear Customer, I acknowledge your concern about receiving the wrong product and the merchant's unresponsiveness. I understand how frustrating this situation must be. Your case involves a billing and refund dispute that requires specialized attention from our team, and it will be escalated for human review. We appreciate your patience as we work to address this promptly.",out_of_scope,escalated,product_issue,"Escalation is needed because the issue involves a complex billing dispute that requires human intervention for proper evaluation and resolution, as automated systems may not handle such cases effectively."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Dear User, I understand that your mock interviews stopped unexpectedly, and you are seeking a refund. I apologize for the inconvenience this has caused. Due to the nature of billing and refund disputes, this case requires specialized attention from our human support team to ensure a thorough and fair review. We are committed to addressing your issue promptly and will keep you updated.",out_of_scope,escalated,product_issue,"Escalation is needed because the issue involves a billing/refund dispute, which requires human review to handle sensitive financial matters accurately and in compliance with policies."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Hello, I acknowledge your concern regarding the payment issue with order ID: cs_live_abcdefgh. I understand this can be frustrating, and I appreciate you bringing it to our attention. Your case requires specialized attention from our dedicated team to review the details thoroughly and ensure it is handled appropriately. Thank you for your patience.",out_of_scope,escalated,product_issue,"Escalation is needed because billing and refund disputes involve complex details that require human expertise for accurate and fair resolution, as per standard procedures."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Thank you for reaching out about using HackerRank for hiring and the need for assistance with your company's information security process. We understand the importance of this matter and recognize that it requires specialized attention to ensure proper handling. Our team will escalate this to the appropriate experts who can provide the necessary guidance. We appreciate your patience and will keep you informed as we proceed.,out_of_scope,escalated,feature_request,Escalation is needed because the request involves sensitive information security procedures that require specialized expertise and cannot be addressed through standard support channels.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"Dear User, I understand that you're having trouble seeing the apply tab, which is preventing you from practicing and submitting. This issue requires specialized attention from our technical team to investigate further. We appreciate your patience as we work to address this.",practice_coding_challenges,escalated,product_issue,"The user's inability to access the apply tab indicates a potential technical issue that needs expert review to diagnose and resolve, beyond standard support procedures."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Dear User, I understand that you're experiencing issues with submissions not working across any challenges on our website. This case requires specialized attention from our technical team to investigate and address the problem effectively. We appreciate your patience and will keep you updated as we work towards a resolution.",practice_coding_challenges,escalated,bug,"The issue is critical as it impacts core functionality for users, potentially indicating a systemic problem that needs expert technical analysis beyond standard support protocols."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Dear User, I acknowledge your concern about the blocker during the compatible check, particularly with Zoom connectivity, and I appreciate the efforts you've made to troubleshoot it. This issue appears to require specialized technical attention to ensure a thorough investigation. I will escalate your case to our expert team for further assistance. Thank you for your patience.",integrations,escalated,bug,"The user has exhausted standard troubleshooting steps, and the persistent Zoom connectivity issue suggests a complex technical problem that necessitates escalation to specialized support for diagnosis and resolution."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,HackerRank,"Thank you for reaching out regarding the rescheduling of your HackerRank assessment. I understand that unforeseen circumstances can arise, and I appreciate your interest in this opportunity. Your case requires specialized attention to ensure it is handled appropriately. Our team will review your request and get back to you with further information. We value your patience and understanding.",managing_tests,escalated,feature_request,"Escalation is needed because the rescheduling request involves specific assessment policies and availability, which require specialized review to assess eligibility and ensure fair handling without making premature commitments."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"Thank you for sharing your concerns regarding the inactivity timeouts during screen sharing sessions. We understand how disruptive this can be for both interviewers and candidates, and we appreciate you bringing this to our attention. This issue requires specialized attention from our technical team to thoroughly investigate the current settings and explore potential solutions. We are committed to ensuring a smooth experience for all users and will prioritize your case for further review.",interviews-integration,escalated,feature_request,Escalation is needed to address the technical complexity of inactivity settings and to ensure a comprehensive investigation without making premature commitments or policy changes.
"it’s not working, help",Help needed,nan,"Thank you for contacting us. I understand you're facing an issue where something isn't working, and I appreciate you sharing this with us. To ensure your concern is addressed thoroughly, your case will be escalated to our specialized team for further attention. We are here to support you, and a specialist will follow up soon.",out_of_scope,escalated,product_issue,"The issue is described vaguely, which may indicate a complex or non-standard problem that requires expert analysis beyond initial support protocols."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"Thank you for contacting us about this issue. I understand you're having difficulty removing an interviewer from the platform, and I appreciate you bringing this to our attention. This matter requires specialized attention from our technical team to investigate further and ensure it's handled appropriately. We'll prioritize your case and provide an update as soon as possible.",out_of_scope,escalated,product_issue,Escalation is needed because the user's issue involves platform functionality that may require administrative intervention or technical troubleshooting beyond standard support protocols.
